"Y","Objective","Error_Metric","Rounds","Booster","LM_Lambda","LM_Alpha","LM_Lambda_Bias","Eta","Max_Depth","Subsample","Colsample_bytree","Colsample_bylevel","Error"
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,8,0.5,0.9,0.5,13.4269166
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,8,0.5,0.9,0.7,13.431636
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,8,0.5,0.9,0.9,13.51527
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,8,0.7,0.5,0.5,13.5252614
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,8,0.7,0.5,0.7,13.3946234
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,8,0.7,0.5,0.9,13.492455
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,8,0.7,0.7,0.5,13.3508132
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,8,0.7,0.7,0.7,13.4194542
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,8,0.7,0.7,0.9,13.4003376
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,8,0.7,0.9,0.5,13.4003838
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,8,0.7,0.9,0.7,13.4440948
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,8,0.7,0.9,0.9,13.433046
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,8,0.9,0.5,0.5,13.3906964
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,8,0.9,0.5,0.7,13.381289
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,8,0.9,0.5,0.9,13.420623
